hhid,province,district,subdistrict,village,ea,pmt,community,hybrid,elite,poorest10,daymeeting,treated,rank,consumption,consumption_ae,food,nonfood,nonstaple,diversity,pcfloor,tfloor,twall,toilet,water,lighting,troof,fcook,house,credit,hhsize,hhsize2,hhsize_ae,hhage,hhage2,hhmale,hhmarried,hhmalemarr,hhsector1,hhsector2,hhsector3,formal,informal,hheduc2,hheduc3,hheduc4,age04,eschild,jschild,sschild,higheduc2,higheduc3,higheduc4,depratio,ac,computer,radio,tv,dvd,satellite,gas,refrigerator,bicycle,motorcycle,auto,hp,jewelry,chicken,cow
"474045",73,11,148,63,474,0,1,0,0,1,0,0,.25,312.747,390.8585,35.9375,.8850908,.5617391,11,17.5,1,0,0,1,1,1,0,1,0,4,16,3.200617,59,3481,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,.3333333,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
"474161",73,11,148,63,474,0,1,0,0,1,0,0,.3611111,343.6833,448.2163,46.97,.8633335,.6695763,10,5,1,0,0,1,0,0,0,1,0,5,25,3.8339,40,1600,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,.6666667,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"474166",73,11,148,63,474,0,1,0,0,1,0,0,.6805556,291.2316,369.5721,37.9,.869863,.6668866,10,35,1,1,1,1,1,0,1,1,0,4,16,3.152094,62,3844,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0
"474346",73,11,148,63,474,0,1,0,0,1,0,1,.1527778,652.7917,803.6809,95.2,.8541648,.7800683,12,10.5,1,0,0,1,1,1,1,0,0,4,16,3.24901,55,3025,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0
"474371",73,11,148,63,474,0,1,0,0,1,0,0,.2361111,206.4595,272.5962,25.595,.876029,.7696816,8,11.2,1,0,0,1,1,0,1,0,0,5,25,3.786912,34,1156,1,1,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,1,1.5,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"474567",73,11,148,63,474,0,1,0,0,1,0,0,.4027778,243.9246,325.6071,24.41667,.8999008,.6587031,8,9.333333,1,0,0,1,1,0,1,0,0,6,36,4.494827,41,1681,1,1,1,0,0,1,0,1,1,0,0,0,2,1,0,0,0,1,.5,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
"474881",73,11,148,63,474,0,1,0,0,1,0,0,.7222222,365.0764,487.3287,54.25,.851401,.8402458,10,17.5,1,1,1,1,1,0,1,1,0,6,36,4.494827,48,2304,1,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1,.5,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0
"475214",73,11,93,22,475,1,0,0,0,0,0,1,,306.8286,395.3174,34.05,.889026,.8017621,8,8,1,0,0,1,0,0,0,1,0,5,25,3.880788,53,2809,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.25,0,0,0,1,0,1,1,0,1,1,0,1,0,1,0
"475250",73,11,93,22,475,1,0,0,0,0,0,0,,356.064,493.752,53.375,.8500972,.7587822,9,14,1,1,0,1,0,0,0,1,0,8,64,5.769114,36,1296,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,.6,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1
"475287",73,11,93,22,475,1,0,0,0,0,0,0,,212.25,235.5061,30.625,.8557126,.6530612,9,52,1,0,1,0,0,0,0,1,0,2,4,1.802501,60,3600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"475467",73,11,93,22,475,1,0,0,0,0,0,0,,256.875,321.0319,19.6,.9236983,.7142857,6,26.25,1,0,1,1,0,0,0,1,0,4,16,3.200617,41,1681,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,.3333333,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"475554",73,11,93,22,475,1,0,0,0,0,0,0,,249.2764,342.5231,28.92857,.8839498,.7580247,8,12,1,1,0,1,0,0,0,1,0,7,49,5.094356,29,841,1,1,1,0,1,0,1,0,1,0,0,1,2,0,0,1,0,0,2.5,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1
"475563",73,11,93,22,475,1,0,0,0,0,0,0,,388.3839,485.3864,55.84375,.8562151,.9473979,10,19.5,1,1,1,0,0,0,0,1,0,4,16,3.200617,80,6400,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1
"475576",73,11,93,22,475,1,0,0,0,0,0,0,,184.5372,234.1773,25.125,.8638486,.8905473,9,13.5,1,0,1,1,0,0,0,1,0,4,16,3.152094,45,2025,1,1,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1
"475841",73,11,93,22,475,1,0,0,0,0,0,0,,311.1238,405.7536,39.75,.8722374,.7987421,10,27,1,0,1,1,0,0,0,1,0,5,25,3.8339,56,3136,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,.6666667,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1
"475950",73,11,93,22,475,1,0,0,0,0,0,1,,281.8282,387.2516,38.35714,.8638989,.726257,9,9,1,0,1,1,0,0,0,1,0,7,49,5.094356,59,3481,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,.75,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"476049",73,11,93,11,476,0,0,1,0,1,1,0,.5844156,755.0428,929.5668,22.25,.9705315,.8033708,7,12.5,1,1,0,0,1,0,0,1,0,4,16,3.24901,55,3025,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1
"476198",73,11,93,11,476,0,0,1,0,1,1,0,.6623377,210.9214,271.7508,38.1,.819364,.5616798,8,10,1,0,0,0,1,0,0,0,0,5,25,3.880788,78,6084,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,.6666667,0,0,0,1,0,1,1,1,0,0,0,0,1,1,0
